Year,Name, MeanAvgTemperature, mcnt
1995,DAVID CITY, M,18
1995,LOUP CITY, M,323
1995,HASTINGS MUNI AP, M,581
1995,TEKAMAH MUNI AP, M,623
1995,CANADAY STEAM PLT, M,116
1995,SUPERIOR 4E, M,22
1995,HAIGLER, M,884
1995,HARLAN CO LAKE, M,475
1995,BENKELMAN, M,10
1995,PAWNEE CITY, M,376
1995,WYMORE, M,3654
1995,FAIRBURY, M,125
1995,RED CLOUD, M,85
1995,BEAVER CITY, M,50
1995,HEBRON, M,222
1995,TRENTON DAM, M,17
1995,TABLE ROCK 4 N, M,2278
1995,CULBERTSON, M,14
1995,VIRGINIA, M,61
1995,BEATRICE, M,3478
